index,project,unitname,ikkanbangou,kakoukeiretu,tapeNo,length,width,thickness,cut,2ndprocess,machineset,carryout,transmission,transshipment,jyouban,komono,komono + jyoban,deadline,
81,22N1764,YB3F,,3P3,4354S,9425,1960,24,44,42,10,5,5,5,40,22,62,2024/12/8/23:00,
82,22N1764,YB3F,,3P3,3227,6389,1211,16,10,14,10,5,5,5,0,0,0,2024/12/8/23:00,
83,22N1764,YB3F,,3P3,3228,6389,1723,12,14,20,10,5,5,5,0,0,0,2024/12/8/23:00,
84,22N1764,BN2,,3P3,7300,7058,2611,20,32,41,10,5,5,5,91,0,91,2024/12/8/23:00,
85,22N1764,BN2,,3P3,7301,5021,2611,20,29,56,10,5,5,5,37,0,37,2024/12/8/23:00,
86,22N1764,BN2,,3P3,7306,4768,2610,18.5,22,44,10,5,5,5,0,0,0,2024/12/8/23:00,
87,22N1764,BN2,,3P3,7307,6382,2398,18.5,23,52,10,5,5,5,47,6,53,2024/12/8/23:00,
88,22N1764,BN2,,3P3,7317,4660,2611,16,19,35,10,5,5,5,0,0,0,2024/12/8/23:00,
89,22N1764,BN2,,3P3,7318,6401,2453,16,22,40,10,5,5,5,14,0,14,2024/12/8/23:00,
90,22N1764,BN2,,3P3,7319,4323,2452,16,14,23,10,5,5,5,0,0,0,2024/12/8/23:00,
91,22N1764,BN2,,3P3,7325,8769,2470,12,29,38,10,5,5,5,0,0,0,2024/12/8/23:00,
92,22N1764,BN2,,3P3,7327,5931,2458,12,32,64,10,5,5,5,0,14,14,2024/12/8/23:00,
93,22N1764,BN2,,3P3,7326,4051,2458,12,13,29,10,5,5,5,0,0,0,2024/12/8/23:00,
94,22N1764,BN2,,3P3,7328,4037,1622,12,13,25,10,5,5,5,0,0,0,2024/12/8/23:00,
95,22N1764,B2E1L,,3P3,2673,5537,3526,13,20,29,10,5,5,5,32,0,32,2024/12/9/23:00,
96,22N1764,B2E1L,,3P3,2670,8002,3158,13,17,15,10,5,5,5,0,0,0,2024/12/9/23:00,
97,22N1764,B2E1L,,3P3,2667,8031,2892,13,29,56,10,5,5,5,0,0,0,2024/12/9/23:00,
98,22N1764,B2E1L,,3P3,2674,14341,2712,13,40,40,10,5,5,5,33,28,61,2024/12/9/23:00,
99,22N1764,B2E1L,,3P3,2672,15154,1949,13,30,28,10,5,5,5,0,0,0,2024/12/9/23:00,
100,22N1764,B2E1L,,3P3,2671,8002,1514,13,16,18,10,5,5,5,0,0,0,2024/12/9/23:00,
101,22N1764,B2E1L,,3P3,2675,8002,3605,12,18,14,10,5,5,5,0,0,0,2024/12/9/23:00,
102,22N1764,B2E1L,,3P3,2668,10806,2522,12,25,85,10,5,5,5,0,0,0,2024/12/9/23:00,
103,22N1764,B2E1L,,3P3,2676,8002,1711,12,13,13,10,5,5,5,0,0,0,2024/12/9/23:00,
104,22N1764,B2E1L,,3P3,2677,4000,1006,12,12,21,10,5,5,5,0,22,22,2024/12/9/23:00,
105,22N1764,B2E1L,,3P3,2679,8864,3047,10,47,62,10,5,5,5,0,0,0,2024/12/9/23:00,
106,22N1764,B2E1L,,3P3,2680,10487,3046,10,61,0,10,5,5,5,0,0,0,2024/12/9/23:00,
107,22N1764,B2E1L,,3P3,2681,9309,2491,9,33,0,10,5,5,5,0,0,0,2024/12/9/23:00,
108,22N1764,B2E1L,,3P3,2669,2121,1000,14,8,19,10,5,5,5,50,3,53,2024/12/9/23:00,
